Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_ec7eb-eb92e, 573, 13, 545, 14, 15, 15, 28, 4, 0, 0, 0, 0, 0, 0, 13, 2, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_485c2-35e45, 512, 24, 464, 22, 24, 23, 37, 12, 0, 0, 0, 0, 0, 0, 12, 5, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 2, 2, 0, 0, 7, 0, 0, 0, 531, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_3d984-0e5a0, 509, 32, 451, 24, 26, 26, 23, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_92ba6-1a7e5, 432, 125, 203, 102, 104, 104, 158, 31, 0, 0, 0, 0, 0, 0, 57, 3, 0, 0, 901, 0, 0, 0, 0, 0, 0, 0, 14, 14, 0, 0, 25, 25, 0, 0, 30, 0, 0, 0, 1710, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0
rev_c4974-eb295, 442, 28, 409, 3, 5, 5, 3, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 3, 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_62220-ed89e, 374, 20, 346, 7, 8, 8, 20, 5, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_ff565-8d77f, 375, 2, 351, 21, 22, 22, 26, 5, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 8, 0, 0, 0, 396, 0, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0
rev_6c4b5-5df8e, 213, 23, 184, 5, 6, 6, 10, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_72172-243e6, 197, 11, 181, 4, 5, 5, 8, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
rev_d3d27-128e5, 189, 109, 38, 40, 42, 42, 69, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 16, 0, 0, 0, 718, 1, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0
rev_57f9a-2e625, 194, 0, 185, 7, 9, 9, 22, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 66, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
