Merge_scenario, Total_Files, Files_Edited_By_One_Dev, Files_That_Remained_The_Same, Files_Added_By_Ove_Dev, Files_Merged, Files_With_Conflicts, ModifierList, ModifierListDS, ModifierListCL, ModifierListIFP, DefaultValueAnnotation, DefaultValueAnnotationDS, DefaultValueAnnotationCL, DefaultValueAnnotationIFP, ImplementList, ImplementListDS, ImplementListCL, ImplementListIFP, EditSameMC, EditSameMCDS, EditSameMCCL, EditSameMCIFP, AddSameFd, AddSameFdDS, AddSameFdCL, AddSameFdIFP, EditSameFd, EditSameFdDS, EditSameFdCL, EditSameFdIFP, SameSignatureCM, SameSignatureCMDS, SameSignatureCMCL, SameSignatureCMIFP, ExtendsList, ExtendsListDS, ExtendsListCL, ExtendsListIFP, NOPATTERN, smallMethod, smallMethodDS, renamedMethod, renamedMethodDS, copiedMethod, copiedMethodDS, copiedFile, copiedFileDS, noPattern, noPatternDS, PossibleRenamings
rev_a0fea-2574b, 5773, 1040, 4483, 248, 250, 248, 290, 169, 0, 0, 0, 0, 0, 0, 26, 17, 0, 0, 1453, 0, 0, 0, 0, 0, 0, 0, 302, 302, 0, 0, 35, 35, 0, 0, 253, 144, 0, 0, 3458, 0, 0, 0, 0, 0, 0, 35, 35, 0, 0, 0
rev_8d2a2-c10f1, 6053, 400, 5569, 58, 84, 72, 55, 6, 0, 0, 0, 0, 0, 0, 14, 3, 0, 0, 464, 0, 0, 0, 0, 0, 0, 0, 18, 17, 0, 0, 2, 2, 0, 0, 57, 4, 0, 0, 962, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_678e1-73d84, 5859, 251, 5529, 65, 79, 69, 53, 5, 0, 0, 0, 0, 0, 0, 8, 3, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 20, 20, 0, 0, 2, 2, 0, 0, 47, 3, 0, 0, 1002, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_083c7-f208a, 6093, 331, 5700, 54, 62, 57, 53, 2, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 2, 0, 0, 48, 1, 0, 0, 644, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_ea830-b98cd, 6057, 228, 5763, 43, 66, 53, 45, 1, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 8, 8, 0, 0, 2, 2, 0, 0, 45, 0, 0, 0, 634, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_107a4-da554, 6083, 202, 5841, 38, 40, 39, 38, 1, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 34, 0, 0, 0, 357, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_52be3-8e4e9, 6077, 259, 5609, 206, 209, 206, 124, 1, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 638, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 17, 17, 0, 0, 113, 0, 0, 0, 2772, 0, 0, 0, 0, 0, 0, 17, 17, 0, 0, 0
rev_95f38-82102, 6043, 504, 5468, 46, 71, 58, 41, 1, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 2, 0, 0, 37, 0, 0, 0, 696, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_01cfa-1230c, 6034, 549, 5423, 17, 62, 28, 9, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 2, 0, 0, 4, 0, 0, 0, 379, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_d06be-2539b, 6030, 492, 5506, 16, 32, 21, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 4, 0, 0, 6, 1, 0, 0, 252, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0
rev_084a6-db5e2, 6072, 487, 5508, 43, 77, 64, 43, 1, 0, 0, 0, 0, 0, 0, 20, 7, 0, 0, 277, 0, 0, 0, 0, 0, 0, 0, 11, 8, 0, 0, 2, 2, 0, 0, 52, 0, 0, 0, 801, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_59cb6-cc125, 6066, 191, 5837, 37, 38, 38, 37, 1, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 33, 0, 0, 0, 383, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_8757a-8ff1e, 6058, 206, 5811, 38, 41, 39, 38, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 33, 0, 0, 0, 385, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
rev_65203-119e9, 6019, 293, 5691, 20, 35, 23, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 10, 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0
